id,topic_score,raw_title,normalized_title,source_url
210,0.2891,دانلود رمان کاش یکی قصه اش را می گفت pdf اثر شکوه قاسم نیا,رمان کاش یکی قصه اش را می گفت شکوه قاسم نیا,https://luxu.ir/%da%a9%d8%a7%d8%b4-%db%8c%da%a9%db%8c-%d9%82%d8%b5%d9%87-%d8%a7%d8%b4-%d8%b1%d8%a7-%d9%85%db%8c-%da%af%d9%81%d8%aa/
72,0.2336,رمان معشوقه خون آشام جلد ۱ و ۲ – مهین مقدسی فر ( نسخه اصلی و کامل),رمان معشوقه خون آشام ۱ ۲ مهین مقدسی فر اصلی,https://luxu.ir/%d8%b1%d9%85%d8%a7%d9%86-%d9%85%d8%b9%d8%b4%d9%88%d9%82%d9%87-%d8%ae%d9%88%d9%86-%d8%a2%d8%b4%d8%a7%d9%85/
